2023-07-29 13:44:15.038880800	[34minfo[0m	E:/go-projects/gin/gin-mall/cmd/server/main.go:19	server start	{"host": "http://127.0.0.1:8000"}
2023-07-29 13:44:44.064154700	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/middleware/log.go:32	Request	{"trace": "3cd2fd640d5a458bacdf15a491c64020", "request_method": "GET", "request_headers": "{\"Accept\":[\"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"document\"],\"Sec-Fetch-Mode\":[\"navigate\"],\"Sec-Fetch-Site\":[\"none\"],\"Sec-Fetch-User\":[\"?1\"],\"Upgrade-Insecure-Requests\":[\"1\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/", "request_params": ""}
2023-07-29 13:44:44.065750100	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/server/http.go:30	hello	{"trace": "3cd2fd640d5a458bacdf15a491c64020", "request_method": "GET", "request_headers": "{\"Accept\":[\"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"document\"],\"Sec-Fetch-Mode\":[\"navigate\"],\"Sec-Fetch-Site\":[\"none\"],\"Sec-Fetch-User\":[\"?1\"],\"Upgrade-Insecure-Requests\":[\"1\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/", "request_params": ""}
2023-07-29 13:44:44.066292600	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/middleware/log.go:44	Response	{"trace": "3cd2fd640d5a458bacdf15a491c64020", "request_method": "GET", "request_headers": "{\"Accept\":[\"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"document\"],\"Sec-Fetch-Mode\":[\"navigate\"],\"Sec-Fetch-Site\":[\"none\"],\"Sec-Fetch-User\":[\"?1\"],\"Upgrade-Insecure-Requests\":[\"1\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/", "request_params": "", "response_body": "{\"code\":0,\"message\":\"success\",\"data\":{\"say\":\"Hi Nunu!\"}}", "time": "2ms"}
2023-07-29 13:44:44.093719400	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/middleware/log.go:32	Request	{"trace": "331acfa781c98be31bf7546badc0a74a", "request_method": "GET", "request_headers": "{\"Accept\":[\"image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Referer\":[\"http://localhost:8000/\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"image\"],\"Sec-Fetch-Mode\":[\"no-cors\"],\"Sec-Fetch-Site\":[\"same-origin\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/favicon.ico", "request_params": ""}
2023-07-29 13:44:44.094265000	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/middleware/log.go:44	Response	{"trace": "331acfa781c98be31bf7546badc0a74a", "request_method": "GET", "request_headers": "{\"Accept\":[\"image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Referer\":[\"http://localhost:8000/\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"image\"],\"Sec-Fetch-Mode\":[\"no-cors\"],\"Sec-Fetch-Site\":[\"same-origin\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/favicon.ico", "request_params": "", "response_body": "", "time": "1ms"}
2023-07-29 13:45:25.986363300	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/middleware/log.go:32	Request	{"trace": "97e6efedc4a1fa8fa7287628442c51d9", "request_method": "GET", "request_headers": "{\"Accept\":[\"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Cache-Control\":[\"max-age=0\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"document\"],\"Sec-Fetch-Mode\":[\"navigate\"],\"Sec-Fetch-Site\":[\"none\"],\"Sec-Fetch-User\":[\"?1\"],\"Upgrade-Insecure-Requests\":[\"1\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/", "request_params": ""}
2023-07-29 13:45:25.986897100	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/server/http.go:30	hello	{"trace": "97e6efedc4a1fa8fa7287628442c51d9", "request_method": "GET", "request_headers": "{\"Accept\":[\"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Cache-Control\":[\"max-age=0\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"document\"],\"Sec-Fetch-Mode\":[\"navigate\"],\"Sec-Fetch-Site\":[\"none\"],\"Sec-Fetch-User\":[\"?1\"],\"Upgrade-Insecure-Requests\":[\"1\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/", "request_params": ""}
2023-07-29 13:45:25.987488700	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/middleware/log.go:44	Response	{"trace": "97e6efedc4a1fa8fa7287628442c51d9", "request_method": "GET", "request_headers": "{\"Accept\":[\"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Cache-Control\":[\"max-age=0\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"document\"],\"Sec-Fetch-Mode\":[\"navigate\"],\"Sec-Fetch-Site\":[\"none\"],\"Sec-Fetch-User\":[\"?1\"],\"Upgrade-Insecure-Requests\":[\"1\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/", "request_params": "", "response_body": "{\"code\":0,\"message\":\"success\",\"data\":{\"say\":\"Hi Nunu!\"}}", "time": "1ms"}
2023-07-29 13:45:27.634262400	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/middleware/log.go:32	Request	{"trace": "f7ca4755ab7202f7f31e8183e46ed026", "request_method": "GET", "request_headers": "{\"Accept\":[\"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Cache-Control\":[\"max-age=0\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"document\"],\"Sec-Fetch-Mode\":[\"navigate\"],\"Sec-Fetch-Site\":[\"none\"],\"Sec-Fetch-User\":[\"?1\"],\"Upgrade-Insecure-Requests\":[\"1\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/", "request_params": ""}
2023-07-29 13:45:27.634794400	[34minfo[0m	E:/go-projects/gin/gin-mall/internal/server/http.go:30	hello	{"trace": "f7ca4755ab7202f7f31e8183e46ed026", "request_method": "GET", "request_headers": "{\"Accept\":[\"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7\"],\"Accept-Encoding\":[\"gzip, deflate, br\"],\"Accept-Language\":[\"zh-CN,zh;q=0.9\"],\"Cache-Control\":[\"max-age=0\"],\"Connection\":[\"keep-alive\"],\"Cookie\":[\"Hm_lvt_1d2d61263f13e4b288c8da19ad3ff56d=1663156630\"],\"Sec-Ch-Ua\":[\"\\\"Not.A/Brand\\\";v=\\\"8\\\", \\\"Chromium\\\";v=\\\"114\\\", \\\"Google Chrome\\\";v=\\\"114\\\"\"],\"Sec-Ch-Ua-Mobile\":[\"?0\"],\"Sec-Ch-Ua-Platform\":[\"\\\"Windows\\\"\"],\"Sec-Fetch-Dest\":[\"document\"],\"Sec-Fetch-Mode\":[\"navigate\"],\"Sec-Fetch-Site\":[\"none\"],\"Sec-Fetch-User\":[\"?1\"],\"Upgrade-Insecure-Requests\":[\"1\"],\"User-Agent\":[\"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36\"]}", "request_url": "/", "request_params": ""}
